Pb206Pb204,Pb207Pb204,Pb208Pb204,Sample
18.9445,15.6795,38.5725,Steel particulate matter
19.0388,15.6753,38.5203,Steel lichen
18.97,15.666,38.53,Coke plant particulate matter
18.866,15.657,38.534,Coke plant lichen
