,MeanPb206Pb204,SDPb206Pb204,MeanPb207Pb204,SDPb207Pb204,MeanPb208Pb204,SDPb208Pb204,n
Leaded Gasoline,18.407,0.339,15.589,0.155,38.075,0.447,19
Coal,19.019,0.017,15.677,0.001,39.016,0.051,3
Glacial Till,19.654,0.083,15.715,0.012,39.297,0.064,4
Fly Ash,19.0816,0.0999,15.6759,0.0085,38.8152,0.0607,16
